label,sub_bass,bass,lower_midrange,mid_range,higher_midrange,presence,brilliance
Frozen,75,69,28,9,60,23,10
Frozen,3,95,4,1,25,12,73
Frozen,44,60,73,0,20,68,0
Frozen,75,90,2,7,14,0,5
Frozen,98,44,84,0,2,1,6
Frozen,99,87,5,19,6,0,0
Frozen,74,20,52,17,0,8,6
Frozen,75,31,26,8,29,16,3
Frozen,3,44,14,3,65,99,5
Frozen,78,95,15,29,54,16,31
Frozen,23,61,75,3,49,25,79
Frozen,2,54,2,0,31,89,14
Frozen,81,76,1,0,21,23,13
Frozen,50,91,62,3,1,7,11
Frozen,77,51,89,0,39,2,6
Frozen,80,69,13,10,14,96,0
Frozen,5,92,3,7,30,0,13
Frozen,11,80,16,17,19,4,12
Frozen,23,77,0,68,7,65,2
Frozen,81,90,51,10,11,4,3
Frozen,76,21,53,0,22,11,0
Frozen,99,84,62,7,17,44,0
Frozen,77,98,10,11,17,1,87
Frozen,11,80,5,0,5,23,0
Frozen,52,77,1,0,25,2,2
Frozen,40,95,18,6,28,5,0
Frozen,75,41,87,1,2,10,20
Frozen,75,80,10,13,37,0,23
Frozen,43,76,1,0,52,95,12
Frozen,67,78,69,0,1,4,15
Frozen,35,63,26,2,21,17,5
Frozen,69,84,61,7,0,1,0
Frozen,34,83,1,34,1,15,5
Frozen,80,74,0,7,15,0,0
Frozen,74,50,37,0,38,0,1
Frozen,75,89,82,13,38,0,8
Frozen,67,1,76,3,10,90,0
Frozen,55,38,28,4,88,0,89
Frozen,67,99,0,0,0,0,10
Frozen,4,99,2,18,3,28,11
Frozen,75,2,37,0,0,0,35
Frozen,75,21,64,0,2,30,14
Frozen,48,89,32,15,1,91,0
Frozen,73,76,2,12,84,5,74
Frozen,57,91,67,1,5,80,96
Frozen,75,66,65,8,38,5,5
Frozen,93,86,63,0,4,0,7
Frozen,61,65,61,7,40,4,4
Frozen,31,68,1,2,57,16,4
Frozen,95,76,12,2,38,9,74
Frozen,43,24,64,0,1,12,84
Frozen,90,97,87,0,6,16,28
Frozen,20,65,43,7,38,6,6
Frozen,41,99,71,25,1,13,30
Frozen,55,81,6,78,57,97,0
Frozen,33,93,1,27,53,8,11
Frozen,57,80,2,0,13,96,0
Frozen,78,77,95,0,35,98,0
Frozen,83,1,28,9,3,21,30
Frozen,45,93,4,2,12,1,0
Frozen,68,70,88,7,19,87,24
Frozen,33,79,13,56,52,14,4
Frozen,69,89,2,1,72,2,9
Frozen,80,96,0,3,21,61,2
Frozen,96,76,0,0,61,14,4
Frozen,74,87,29,15,77,92,96
Frozen,99,31,60,35,43,15,0
Frozen,91,78,84,14,39,0,0
Frozen,68,88,5,5,32,86,0
Frozen,86,56,78,0,68,2,12
Frozen,63,98,10,8,35,20,6
Frozen,12,70,55,1,31,62,11
Frozen,37,96,92,22,2,8,8
Frozen,58,76,4,1,51,98,2
Frozen,76,47,72,1,56,9,40
Frozen,99,88,6,38,47,4,7
