label,sub_bass,bass,lower_midrange,mid_range,higher_midrange,presence,brilliance
Frozen,75,69,28,9,60,23,10
Frozen,92,0,16,64,62,44,3
Frozen,74,21,23,99,0,24,27
Frozen,3,95,4,1,25,12,73
Frozen,99,9,37,80,0,23,60
Frozen,47,21,3,69,1,31,12
Frozen,44,60,73,0,20,68,0
Frozen,82,63,20,38,1,3,63
Frozen,75,90,2,7,14,0,5
Frozen,98,44,84,0,2,1,6
Frozen,99,87,5,19,6,0,0
Frozen,74,20,52,17,0,8,6
Frozen,75,31,26,8,29,16,3
Frozen,3,44,14,3,65,99,5
Frozen,24,2,36,85,34,5,5
Frozen,78,95,15,29,54,16,31
Frozen,23,61,75,3,49,25,79
Frozen,77,28,37,85,0,73,20
Frozen,50,21,28,95,1,64,9
Frozen,75,1,60,65,78,7,55
Frozen,2,54,2,0,31,89,14
Frozen,81,76,1,0,21,23,13
Frozen,50,91,62,3,1,7,11
Frozen,77,51,89,0,39,2,6
Frozen,80,69,13,10,14,96,0
Frozen,18,52,91,79,27,21,7
Frozen,5,92,3,7,30,0,13
Frozen,75,34,74,94,10,20,42
Frozen,11,80,16,17,19,4,12
Frozen,23,77,0,68,7,65,2
Frozen,81,90,51,10,11,4,3
Frozen,76,21,53,0,22,11,0
Frozen,99,84,62,7,17,44,0
Frozen,77,49,10,80,2,5,6
Frozen,77,98,10,11,17,1,87
Frozen,11,80,5,0,5,23,0
Frozen,75,65,81,29,1,3,7
Frozen,52,77,1,0,25,2,2
Frozen,40,95,18,6,28,5,0
Frozen,99,1,68,68,2,42,14
Frozen,75,41,87,1,2,10,20
Frozen,52,1,28,76,6,93,2
Frozen,99,51,55,53,28,15,95
Frozen,75,21,1,97,9,34,28
Frozen,75,80,10,13,37,0,23
Frozen,43,76,1,0,52,95,12
Frozen,67,78,69,0,1,4,15
Frozen,28,94,92,39,35,2,21
Frozen,35,63,26,2,21,17,5
Frozen,69,84,61,7,0,1,0
Frozen,34,83,1,34,1,15,5
Frozen,80,74,0,7,15,0,0
Frozen,74,50,37,0,38,0,1
Frozen,75,89,82,13,38,0,8
Frozen,67,1,76,3,10,90,0
Frozen,55,38,28,4,88,0,89
Frozen,67,99,0,0,0,0,10
Frozen,4,99,2,18,3,28,11
Frozen,98,39,67,50,27,20,62
Frozen,75,2,37,0,0,0,35
Frozen,75,21,64,0,2,30,14
Frozen,48,89,32,15,1,91,0
Frozen,42,2,60,75,10,20,15
Frozen,73,76,2,12,84,5,74
Frozen,88,36,47,75,2,94,0
Frozen,57,91,67,1,5,80,96
Frozen,95,88,97,50,78,14,4
Frozen,75,21,82,57,4,0,81
Frozen,75,66,65,8,38,5,5
Frozen,39,7,16,46,3,0,4
Frozen,17,0,31,31,92,22,25
Frozen,93,86,63,0,4,0,7
Frozen,61,65,61,7,40,4,4
Frozen,31,68,1,2,57,16,4
Frozen,92,73,4,57,0,11,8
Frozen,95,76,12,2,38,9,74
Frozen,86,47,55,48,15,5,1
Frozen,1,63,47,50,6,3,0
Frozen,64,99,42,51,0,39,38
Frozen,43,24,64,0,1,12,84
Frozen,95,42,34,66,1,24,50
Frozen,74,14,96,67,14,25,0
Frozen,14,2,2,60,19,16,92
Frozen,98,3,11,25,11,87,7
Frozen,52,36,2,99,17,0,86
Frozen,90,97,87,0,6,16,28
Frozen,20,65,43,7,38,6,6
Frozen,77,20,39,97,0,13,19
Frozen,41,99,71,25,1,13,30
Frozen,55,81,6,78,57,97,0
Frozen,19,0,20,33,11,27,88
Frozen,33,93,1,27,53,8,11
Frozen,75,18,7,99,0,0,10
Frozen,57,80,2,0,13,96,0
Frozen,78,77,95,0,35,98,0
Frozen,92,21,57,40,10,0,0
Frozen,83,1,28,9,3,21,30
Frozen,45,93,4,2,12,1,0
Frozen,68,70,88,7,19,87,24
Frozen,33,79,13,56,52,14,4
Frozen,69,89,2,1,72,2,9
Frozen,80,96,0,3,21,61,2
Frozen,77,16,50,52,0,1,4
Frozen,96,76,0,0,61,14,4
Frozen,74,87,29,15,77,92,96
Frozen,99,31,60,35,43,15,0
Frozen,91,78,84,14,39,0,0
Frozen,95,10,1,74,62,51,17
Frozen,68,88,5,5,32,86,0
Frozen,86,56,78,0,68,2,12
Frozen,63,98,10,8,35,20,6
Frozen,12,70,55,1,31,62,11
Frozen,77,84,7,57,0,90,0
Frozen,37,96,92,22,2,8,8
Frozen,58,76,4,1,51,98,2
Frozen,98,92,7,65,0,16,69
Frozen,76,47,72,1,56,9,40
Frozen,76,88,63,81,0,39,13
Frozen,99,88,6,38,47,4,7
Frozen,64,64,84,0,1,0,3
Frozen,77,47,3,78,6,9,6
Frozen,98,67,50,4,53,68,1
Frozen,96,90,10,23,0,14,26
Frozen,82,99,56,38,86,21,25
Frozen,17,73,19,6,42,1,16
Frozen,88,74,58,0,55,2,2
Frozen,78,99,0,0,39,25,67
Frozen,74,11,73,3,8,99,1
Frozen,99,99,1,54,18,28,4
Frozen,75,67,0,2,58,62,0
Frozen,6,40,1,0,4,49,94
Frozen,72,76,13,0,49,49,0
Frozen,30,74,24,21,2,3,16
Frozen,99,78,5,1,4,0,3
Frozen,93,10,39,72,3,10,0
Frozen,72,79,1,9,79,0,6
Frozen,77,47,16,53,97,0,3
Frozen,1,74,82,5,42,0,27
Frozen,75,21,62,0,1,0,38
Frozen,77,20,44,2,20,58,92
Frozen,94,77,66,77,55,0,72
Frozen,74,79,1,8,88,0,6
Frozen,17,75,0,5,90,0,3
Frozen,96,27,7,69,0,23,10
Frozen,99,83,69,50,60,8,1
Frozen,74,56,2,0,25,24,13
Frozen,61,95,90,2,35,35,3
Frozen,92,77,11,25,0,0,4
Frozen,26,91,11,3,54,2,10
Frozen,21,94,2,3,32,16,2
Frozen,47,2,68,40,9,21,3
Frozen,92,76,64,1,3,1,1
Frozen,3,72,38,11,0,59,46
Frozen,83,76,64,21,45,0,69
Frozen,83,94,11,8,8,2,4
Frozen,77,47,40,90,1,14,0
Frozen,77,60,79,79,1,57,85
Frozen,76,2,1,75,4,8,3
Frozen,16,31,26,74,2,12,97
